name,website,street,phone,email,appfee,web,listing,typed,neighborhoods
Observer Park,https://www.nybits.com/apartments/51_garden_st_hs.html,"
51 Garden Street,

Hoboken, NJ ","
888-847-0212 
",,,,,Building,"
Hoboken"
The Crest at Fort Lee,https://www.nybits.com/apartments/crest_fort_lee.html,"
900 Crest Lane,

Fort Lee, NJ 07024","
301-220-0100 
",,,,,Building,"
Fort Lee"
Liberty Towers,https://www.nybits.com/apartments/liberty_towers.html,"
33 Hudson Street,

Jersey City, NJ 07302","
866-209-1831 
",,,"
www.libertytowersapts.com
",,Building,"
Downtown Jersey City"
The Jefferson at Farmingdale Plaza,https://www.nybits.com/apartments/148_s_front_st_li.html,"
148 South Front Street,

Farmingdale, NY ","
301-220-0100 
",,,,,Building,"
Farmingdale"
One City Place,https://www.nybits.com/apartments/1_city_pl_wp.html,"
1 City Place,

White Plains, NY 10601","
301-220-0100 
",,,,,Building,"
White Plains"
15 Bank Apartments,https://www.nybits.com/apartments/15_bank_st_wp.html,"
15 Bank Street,

White Plains, NY ","
888-675-2880 
",,,,,Building,"
White Plains"
Faymor Gardens,https://www.nybits.com/apartments/120_pelham_rd_nr.html,"
120 Pelham Road,

New Rochelle, NY 10805","
301-220-0100 
",,,,,Building,"
New Rochelle"
Halstead New Rochelle Metro North,https://www.nybits.com/apartments/40_memorial_hw_nr.html,"
40 Memorial Highway,

New Rochelle, NY ","
888-895-7058 
",,,"
www.halsteadnewrochelle.com
",,Building,"
New Rochelle"
Halstead White Plains Metro North,https://www.nybits.com/apartments/34_south_lexington_ave_wp.html,"
34 South Lexington Avenue,

White Plains, NY ","
877-296-3082 
",,,"
www.halsteadwhiteplains.com
",,Building,"
White Plains"
The Mariner,https://www.nybits.com/apartments/the_mariner_pc.html,"
21 Willett Avenue,

Port Chester, NY 10573","
301-220-0100 
",,,"
www.themarinerrentals.com
",,Building,"
Port Chester"
529 East 81st Street,https://www.nybits.com/apartments/529_east_81st_st.html,"
529 East 81st Street,

New York, NY 10028",,,,,,Building,"
Upper East Side / Yorkville"
531 East 81st Street,https://www.nybits.com/apartments/531_east_81st_st.html,"
531 East 81st Street,

New York, NY 10028",,,,,,Building,"
Upper East Side / Yorkville"
533 East 81st Street,https://www.nybits.com/apartments/533_east_81st_st.html,"
533 East 81st Street,

New York, NY 10028",,,,,,Building,"
Upper East Side / Yorkville"
535 East 81st Street,https://www.nybits.com/apartments/535_east_81st_st.html,"
535 East 81st Street,

New York, NY 10028",,,,,,Building,"
Upper East Side / Yorkville"
537 East 81st Street,https://www.nybits.com/apartments/537_east_81st_st.html,"
537 East 81st Street,

New York, NY 10028",,,,,,Building,"
Upper East Side / Yorkville"
Greystone,https://www.nybits.com/apartments/212_west_91.html,"
212 West 91st Street,

New York, NY 10024","
866-595-7573 
",,,"
www.greystonerentals.com
",,Building,"
Upper West Side"
Mulberry South,https://www.nybits.com/apartments/298_mulberry.html,"
298 Mulberry Street,

New York, NY 10012","
212-609-3700 
",,,,,Building,"
NoLiTa / NoHo"
215 Sullivan Street,https://www.nybits.com/apartments/215_sullivan_st.html,"
215 Sullivan Street,

New York, NY 10012","
212-609-3700 
",,,,,Building,"
Central Village"
Mulberry North,https://www.nybits.com/apartments/304_mulberry.html,"
304 Mulberry Street,

New York, NY 10012","
866-490-8132 
",,,,,Building,"
NoHo"
Maison East,https://www.nybits.com/apartments/maison_east.html,"
1438 Third Avenue,

New York, NY 10028",,,,,,Building,"
Upper East Side"
184 Thompson Street,https://www.nybits.com/apartments/184_thompson.html,"
184 Thompson Street,

New York, NY 10012",,,,,,Building,"
Central Village"
4 Park Avenue,https://www.nybits.com/apartments/four_park_ave.html,"
4 Park Avenue,

New York, NY 10016","
212-279-7600 
",,,,,Building,"
Kips Bay / Midtown South"
The Sherry House,https://www.nybits.com/apartments/the_sherry_house.html,"
125 East 87th Street,

New York, NY 10128","
212-279-7600 
",,,,,Building,"
Carnegie Hill / Upper East Side"
The Clermont York,https://www.nybits.com/apartments/the_clermont_york.html,"
445 East 80th Street,

New York, NY 10075","
212-279-7600 
",,,,,Building,"
Upper East Side / Yorkville"
The Clermont,https://www.nybits.com/apartments/the_clermont.html,"
444 East 82nd Street,

New York, NY 10028","
212-279-7600 
",,,,,Building,"
Upper East Side / Yorkville"
Gramercy Row,https://www.nybits.com/apartments/gramercy_row.html,"
134 East 22nd Street,

New York, NY 10010","
212-279-7600 
",,,,,Building,"
Gramercy Park"
1700 York Avenue,https://www.nybits.com/apartments/1700_york_ave.html,"
1700 York Avenue,

New York, NY 10128","
212-279-7600 
",,,,,Building,"
Upper East Side / Yorkville"
160 East 84th Street,https://www.nybits.com/apartments/160_east_84th_st.html,"
160 East 84th Street,

New York, NY 10028","
212-279-7600 
",,,,,Building,"
Upper East Side"
The Mowbray,https://www.nybits.com/apartments/82-67_austin_st_qn.html,"
82-67 Austin Street,

Kew Gardens, NY 11415","
212-279-7600 
",,,,,Building,"
Kew Gardens"
Allerville Arms,https://www.nybits.com/apartments/2550_olinville_ave_bx.html,"
2550 Olinville Avenue,

Bronx, NY 10467","
212-279-7600 
",,,,,Building,"
Bronxdale"
51 West 11th Street,https://www.nybits.com/apartments/51_west_11th_st.html,"
51 West 11th Street,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Central Village"
62 Leroy Street,https://www.nybits.com/apartments/62_leroy_st.html,"
62 Leroy Street,

New York, NY 10014","
212-896-5570 
",,,,,Building,"
West Village"
400 Bleecker Street,https://www.nybits.com/apartments/400_bleecker_street.html,"
400 Bleecker Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,"
www.brodskyorg.com
",,Building,"
West Village"
176 East 81st Street,https://www.nybits.com/apartments/176_east_81st_street.html,"
176 East 81st Street,

New York, NY 10028","
212-896-5570 
",,,,,Building,"
Upper East Side"
168-170 East 81st Street,https://www.nybits.com/apartments/170_east_81st_st.html,"
168-170 East 81st Street,

New York, NY 10028","
212-734-9655 
",,,,,Building,"
Upper East Side"
231 West 13th Street,https://www.nybits.com/apartments/231_west_13th_st.html,"
231 West 13th Street,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village"
213 West 13th Street,https://www.nybits.com/apartments/213_west_13th_street.html,"
213 West 13th Street,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village"
48-50 Greenwich Avenue,https://www.nybits.com/apartments/48_greenwich_avenue.html,"
48-50 Greenwich Avenue,

New York, NY 10011","
212-896-5570 
",,,,,Building,"
West Village / Central Village"
80½ - 82 Jane Street,https://www.nybits.com/apartments/82_jane_street.html,"
82 Jane Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village"
24-26 Jane Street,https://www.nybits.com/apartments/24_jane_st.html,"
24-26 jane Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village"
323 West 4th Street,https://www.nybits.com/apartments/323_west_4th_st.html,"
323 West 4th Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village"
30 Greenwich Avenue,https://www.nybits.com/apartments/30_greenwich_ave.html,"
30 Greenwich Avenue,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Central Village"
The Carteret,https://www.nybits.com/apartments/the_carteret.html,"
208 West 23rd Street,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
West Pierre,https://www.nybits.com/apartments/west_pierre.html,"
253 West 72nd Street,

New York, NY 10023","
212-580-0102 
",,,,,Building,"
Upper West Side"
7 Morton Street,https://www.nybits.com/apartments/7_morton.html,"
7 Morton Street,

New York, NY 10011","
212-245-1870 
",,,,,Building,"
West Village / Central Village"
433 West 21st Street,https://www.nybits.com/apartments/433_west_21.html,"
433 West 21st Street,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
245 East 11th Street,https://www.nybits.com/apartments/245_east_11.html,"
245 East 11th Street,

New York, NY 10003","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
East Village"
Bridge Tower Place,https://www.nybits.com/apartments/bridge_tower_place.html,"
401 East 60th Street,

New York, NY 10022","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Upper East Side"
19-21 Grove Street,https://www.nybits.com/apartments/19_21_grove_street.html,"
19-21 Grove Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village"
19 West 69th Street,https://www.nybits.com/apartments/19_west_69.html,"
19 West 69th Street,

New York, NY 10023","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Lincoln Square / Upper West Side"
18 Cornelia Street,https://www.nybits.com/apartments/18_cornelia.html,"
18 Cornelia Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Central Village"
20 Cornelia Street,https://www.nybits.com/apartments/20_cornelia.html,"
20 Cornelia Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Central Village"
South Pierre (aka 160 West 71st),https://www.nybits.com/apartments/160_west_71.html,"
160 West 71st Street,

New York, NY 10023","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Upper West Side"
148 West 10th Street,https://www.nybits.com/apartments/148_west_10.html,"
148 West 10th Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village / Central Village"
The Beaux Arts: 307 East 44th,https://www.nybits.com/apartments/307_east_44th_st.html,"
307 East 44th Street,

New York, NY 10017","
212-986-6655 
",,,,,Building,"
Midtown East"
The Beaux Arts: 310 East 44th,https://www.nybits.com/apartments/310_east_44th_st.html,"
310 East 44th Street,

New York, NY 10017","
212-986-6655 
",,,,,Building,"
Midtown East"
420 West 42nd Street,https://www.nybits.com/apartments/theater_row_tower.html,"
420 West 42nd Street,

New York, NY 10036","
212-245-0000 
",,,,,Building,"
Hell's Kitchen / Hudson Yards"
267 West 15th Street,https://www.nybits.com/apartments/267_west_15th_st.html,"
267 West 15th Street,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
592 Ninth Avenue,https://www.nybits.com/apartments/592_ninth_ave.html,"
592 Ninth Avenue,

New York, NY 10036","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Hell's Kitchen / Midtown South"
594 Ninth Avenue,https://www.nybits.com/apartments/594_ninth_ave.html,"
594 Ninth Avenue,

New York, NY 10036","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Hell's Kitchen / Midtown South"
596 Ninth Avenue,https://www.nybits.com/apartments/596_ninth_ave.html,"
596 Ninth Avenue,

New York, NY 10036","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Hell's Kitchen / Midtown South"
598 Ninth Avenue,https://www.nybits.com/apartments/598_ninth_ave.html,"
598 Ninth Avenue,

New York, NY 10036","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Hell's Kitchen / Midtown South"
Enclave at the Cathedral,https://www.nybits.com/apartments/400_west_113th_st.html,"
400 West 113th Street,

New York, NY 10025","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Morningside Heights"
57 West 10th Street,https://www.nybits.com/apartments/57_west_10th_street.html,"
57 West 10th Street,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Central Village"
1577 Third Avenue,https://www.nybits.com/apartments/1577_third_ave.html,"
1577 Third Avenue,

New York, NY 10128","
212-896-5570 
",,,,,Building,"
Upper East Side / Yorkville"
1420 Third Avenue,https://www.nybits.com/apartments/1420_third_avenue.html,"
1420 Third Avenue,

New York, NY 10028","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Upper East Side"
1422 Third Avenue,https://www.nybits.com/apartments/1422_third_avenue.html,"
1422 Third Avenue,

New York, NY 10028","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Upper East Side"
The Croydon,https://www.nybits.com/apartments/the_croydon.html,"
12 East 86th Street,

New York, NY 10028","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Carnegie Hill / Museum Mile / Upper East Side"
24 Fifth Avenue,https://www.nybits.com/apartments/24_fifth_ave.html,"
24 Fifth Avenue,

New York, NY 10011","
212-473-2044 
",,,,,Building,"
Central Village"
West End Towers: 55 WEA,https://www.nybits.com/apartments/55_west_end_ave.html,"
55 West End Avenue,

New York, NY 10069","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Lincoln Square / Upper West Side"
West End Towers: 75 WEA,https://www.nybits.com/apartments/75_west_end_ave.html,"
75 West End Avenue,

New York, NY 10069","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Lincoln Square / Upper West Side"
360 West 43rd Street,https://www.nybits.com/apartments/360_west_43.html,"
360 West 43rd Street,

New York, NY 10036","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Hell's Kitchen / Midtown South"
The Concerto,https://www.nybits.com/apartments/concerto.html,"
200 West 60th Street,

New York, NY 10023","
212-247-4444 
",,,,,Building,"
Lincoln Square / Upper West Side"
1 Columbus Place,https://www.nybits.com/apartments/one_columbus_place.html,"
1 Columbus Place,

New York, NY 10019","
212-863-3000 
",,,,,Building,"
Upper West Side / Hell's Kitchen"
South Park Tower,https://www.nybits.com/apartments/south_park_tower.html,"
124 West 60th Street,

New York, NY 10023","
212-315-5560 
",,,,,Building,"
Lincoln Square / Upper West Side"
102 Eighth Avenue,https://www.nybits.com/apartments/102_eighth_ave.html,"
102 Eighth Avenue,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
104 Eighth Avenue,https://www.nybits.com/apartments/104_eighth_ave.html,"
104 Eighth Avenue,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
106 Eighth Avenue,https://www.nybits.com/apartments/106_eighth_ave.html,"
106 Eighth Avenue,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
108 Eighth Avenue,https://www.nybits.com/apartments/108_eighth_ave.html,"
108 Eighth Avenue,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
110 Eighth Avenue,https://www.nybits.com/apartments/110_eighth_ave.html,"
110 Eighth Avenue,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
112 Eighth Avenue,https://www.nybits.com/apartments/112_eighth_ave.html,"
112 Eighth Avenue,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
114 Eighth Avenue,https://www.nybits.com/apartments/114_eighth_ave.html,"
114 Eighth Avenue,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
260 West 16th Street,https://www.nybits.com/apartments/116_eighth_ave.html,"
260 West 16th Street,

New York, NY 10011","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
Chelsea"
238 West 4th Street,https://www.nybits.com/apartments/238_west_4th_st.html,"
238 West 4th Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village"
240 West 4th Street,https://www.nybits.com/apartments/240_west_4th_st.html,"
240 West 4th Street,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village"
140 Waverly Place,https://www.nybits.com/apartments/140_waverly_place.html,"
140 Waverly Place,

New York, NY 10014","
212-315-5555 
212-315-5963 fax
",,,,,Building,"
West Village / Central Village"
City Tower,https://www.nybits.com/apartments/city_tower.html,"
10 City Point,

Brooklyn, NY 11201","
212-315-5555 
212-315-5963 fax
",,,"
www.citytowerbk.com
",,Building,"
Downtown Brooklyn"
45 West 67th Street,https://www.nybits.com/apartments/45_west_67th_st.html,"
45 West 67th Street,

New York, NY 10023",,,,,,Building,"
Lincoln Square / Upper West Side"
Chelsea Enclave,https://www.nybits.com/apartments/chelsea_enclave.html,"
177 Ninth Avenue,

New York, NY 10011",,,,,,Building,"
Chelsea"
The Walton Condominium,https://www.nybits.com/apartments/104_west_70th_street.html,"
104 West 70th Street,

New York, NY 10023",,,,"
www.104w70residents.com
",,Building,"
Lincoln Square / Upper West Side"
211 West 148th Street,https://www.nybits.com/apartments/211_west_148th_st.html,"
211 West 148th Street,

New York, NY 10039","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
155 East 109th Street,https://www.nybits.com/apartments/155_east_109th_st.html,"
155 East 109th Street,

New York, NY 10029","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East Harlem"
Eastville Gardens: 342 East 8th,https://www.nybits.com/apartments/342_east_8th_st.html,"
342 East 8th Street,

New York, NY 10009","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Alphabet City / East Village"
Eastville Gardens: 225 East 7th,https://www.nybits.com/apartments/225_east_7th_st.html,"
225 East 7th Street,

New York, NY 10009","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Alphabet City / East Village"
1784 Amsterdam Avenue,https://www.nybits.com/apartments/1784_amsterdam_ave.html,"
1784 Amsterdam Avenue,

New York, NY 10031","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Hamilton Heights / West Harlem"
2917 Eighth Avenue,https://www.nybits.com/apartments/2917_eighth_ave.html,"
2917 Eighth Avenue,

New York, NY 10039","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
1702 Amsterdam Avenue,https://www.nybits.com/apartments/1702_amsterdam_ave.html,"
1702 Amsterdam Avenue,

New York, NY 10031","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Hamilton Heights / West Harlem"
219 Edgecombe Avenue,https://www.nybits.com/apartments/219_edgecombe_ave.html,"
219 Edgecombe Avenue,

New York, NY 10030","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Hamilton Heights / West Harlem"
351 West 141st Street,https://www.nybits.com/apartments/351_west_141st_st.html,"
351 West 141st Street,

New York, NY 10030","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Hamilton Heights / West Harlem"
457 West 125th Street,https://www.nybits.com/apartments/457_west_125th_st.html,"
457 West 125th Street,

New York, NY 10027","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
West Harlem"
2920 Eighth Avenue,https://www.nybits.com/apartments/2920_eighth_ave.html,"
2920 Eighth Avenue,

New York, NY 10039","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
445 West 125th Street,https://www.nybits.com/apartments/445_west_125th_st.html,"
445 West 125th Street,

New York, NY 10027","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
West Harlem"
55 East 115 Street,https://www.nybits.com/apartments/55_east_115th_st.html,"
55 East 115 Street,

New York, NY 10029","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East Harlem"
205 West 148th Street,https://www.nybits.com/apartments/205_west_148th_st.html,"
205 West 148th Street,

New York, NY 10039","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
1663 Madison Avenue,https://www.nybits.com/apartments/1663_madison_ave.html,"
1663 Madison Avenue,

New York, NY 10029","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East Harlem"
286 West 147th Street,https://www.nybits.com/apartments/286_west_147th_st.html,"
286 West 147th Street,

New York, NY 10039","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
320 St. Nicholas Avenue,https://www.nybits.com/apartments/320_st_nicholas_ave.html,"
320 St. Nicholas Avenue,

New York, NY 10027","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
439 West 125th Street,https://www.nybits.com/apartments/439_west_125th_st.html,"
439 West 125th Street,

New York, NY 10027","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
West Harlem"
138 East 112th Street,https://www.nybits.com/apartments/138_east_112th_st.html,"
138 East 112th Street,

New York, NY 10029","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East Harlem"
34 St Nicholas Avenue,https://www.nybits.com/apartments/34_st_nicholas_ave.html,"
34 St Nicholas Avenue,

New York, NY 10026","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
117 East 115th Street,https://www.nybits.com/apartments/117_east_115th_st.html,"
117 East 115th Street,

New York, NY 10029","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East Harlem"
311 West 141st Street,https://www.nybits.com/apartments/311_west_141st_st.html,"
311 West 141st Street,

New York, NY 10030","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
2080 Frederick Douglass Boulevard,https://www.nybits.com/apartments/2080_eighth_ave.html,"
2078-2080 Eighth Avenue,

New York, NY 10026","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
203-205 West 119th Street,https://www.nybits.com/apartments/203_west_119th_st.html,"
203-205 West 119th Street,

New York, NY 10026","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
201 West 148th Street,https://www.nybits.com/apartments/201_west_148th_st.html,"
201 West 148th Street,

New York, NY 10039","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
Amy Gladys Farrell Gardens,https://www.nybits.com/apartments/206_west_148th_st.html,"
206 West 148th Street,

New York, NY 10039","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
229 East 105th Street,https://www.nybits.com/apartments/229_east_105th_st.html,"
229 East 105th Street,

New York, NY 10029","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East Harlem"
367 West 126th Street,https://www.nybits.com/apartments/367_west_126th_st.html,"
367 West 126th Street,

New York, NY 10027","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
West Harlem"
267 West 152nd Street,https://www.nybits.com/apartments/267_west_152nd_st.html,"
267 West 152nd Street,

New York, NY 10039","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
1951 Park Avenue,https://www.nybits.com/apartments/1951_park_ave.html,"
1951 Park Avenue,

New York, NY 10037","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East Harlem"
7 West 137th Street,https://www.nybits.com/apartments/7_west_137th_st.html,"
7 West 137th Street,

New York, NY 10037","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Central Harlem"
1339 Lincoln Place,https://www.nybits.com/apartments/1339_lincoln_pl_bk.html,"
1339 Lincoln Place,

Brooklyn, NY 11213","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Crown Heights"
45 Clermont Avenue,https://www.nybits.com/apartments/45_clermont_ave_bk.html,"
45 Clermont Avenue,

Brooklyn, NY 11205","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Clinton Hill"
829 Lafayette Avenue,https://www.nybits.com/apartments/829_lafayette_ave_bk.html,"
829 Lafayette Avenue,

Brooklyn, NY 11221","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Tompkins Park North"
21 Cook Street / 40-44 Varet Street,https://www.nybits.com/apartments/21_cook_st_bk.html,"
21 Cook Street,

Brooklyn, NY 11206","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Williamsburg"
9 Cook Street,https://www.nybits.com/apartments/9_cook_st_bk.html,"
9 Cook Street,

Brooklyn, NY 11206","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Williamsburg"
1594-1596 Eastern Parkway,https://www.nybits.com/apartments/1594_eastern_pkwy_bk.html,"
1594-1596 Eastern Parkway,

Brooklyn, NY 11233","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Ocean Hill"
35 Brevoort Place,https://www.nybits.com/apartments/35_brevoort_pl_bk.html,"
35 Brevoort Place,

Brooklyn, NY 11216","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Stuyvesant Heights"
660 Willoughby Avenue,https://www.nybits.com/apartments/660_willoughby_ave_bk.html,"
660 Willoughby Avenue,

Brooklyn, NY 11206","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Tompkins Park North"
666 Willoughby Avenue,https://www.nybits.com/apartments/666_willoughby_ave_bk.html,"
666 Willoughby Avenue,

Brooklyn, NY 11206","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Tompkins Park North"
1765 Park Place,https://www.nybits.com/apartments/1765_park_pl_bk.html,"
1765 Park Place,

Brooklyn, NY 11233","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Brownsville"
7 Clermont Avenue,https://www.nybits.com/apartments/7_clermont_ave_bk.html,"
7 Clermont Avenue,

Brooklyn, NY 11205","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Clinton Hill"
996 Hegeman Avenue,https://www.nybits.com/apartments/996_hegeman_ave_bk.html,"
996 Hegeman Avenue,

Brooklyn, NY 11208","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East New York"
117 Van Buren Street,https://www.nybits.com/apartments/117_van_buren_st_bk.html,"
117 Van Buren Street,

Brooklyn, NY 11221","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Bedford-Stuyvesant"
101 Van Buren Street,https://www.nybits.com/apartments/101_van_buren_st_bk.html,"
101 Van Buren Street,

Brooklyn, NY 11221","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Bedford-Stuyvesant"
1789 Park Place,https://www.nybits.com/apartments/1789_park_pl_bk.html,"
1789 Park Place,

Brooklyn, NY 11233","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Crown Heights / Brownsville"
730-752 East 103rd Street,https://www.nybits.com/apartments/730_east_103rd_st_bk.html,"
730-752 East 103rd Street,

Brooklyn, NY 11236","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Canarsie"
591-593 Quincy Street,https://www.nybits.com/apartments/591_quincy_st_bk.html,"
591-593 Quincy Street,

Brooklyn, NY 11221","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Bedford-Stuyvesant"
1813 Park Place,https://www.nybits.com/apartments/1813_park_pl_bk.html,"
1813 Park Place,

Brooklyn, NY 11233","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Crown Heights / Brownsville"
882 Greene Avenue,https://www.nybits.com/apartments/882_greene_ave_bk.html,"
882 Greene Avenue,

Brooklyn, NY 11221","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Bedford-Stuyvesant"
320 Sterling Street,https://www.nybits.com/apartments/320_sterling_st_bk.html,"
320 Sterling Street,

Brooklyn, NY 11225","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Prospect Lefferts Gardens"
Prospect Plaza,https://www.nybits.com/apartments/1785_park_pl_bk.html,"
1785 Park Place,

Brooklyn, NY 11233","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Ocean Hill / Brownsville"
15 Dunham Place,https://www.nybits.com/apartments/11_broadway_bk.html,"
11 Broadway,

Brooklyn, NY 11249","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Williamsburg"
275 East 94th Street,https://www.nybits.com/apartments/275_east_94th_st_bk.html,"
275 East 94th Street,

Brooklyn, NY 11212","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
East Flatbush"
20 North 5th Street,https://www.nybits.com/apartments/20_north_5th_st_bk.html,"
20 North 5th Street,

Brooklyn, NY 11249","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Williamsburg"
414 Hicks Street,https://www.nybits.com/apartments/414_hicks_st_bk.html,"
414 Hicks Street,

Brooklyn, NY 11201","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Cobble Hill / Columbia Street Waterfront District"
54 Bristol Street,https://www.nybits.com/apartments/54_bristol_st_bk.html,"
54 Bristol Street,

Brooklyn, NY 11212","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Brownsville"
445 Hopkinson Avenue,https://www.nybits.com/apartments/445_hopkinson_ave_bk.html,"
445 Hopkinson Avenue,

Brooklyn, NY 11212","
212-348-3248 
212-348-3602 fax
",,,,,Building,"
Brownsville"
